2016-12-01 17:18:07 INFO  searcher:31 - 1 domains selected to search
2016-12-01 17:18:07 INFO  searcher:38 - Đà Nẵng domain searching started
2016-12-01 17:18:07 INFO  searcher:44 - Đà Nẵng domain last searched 2016-11-27T10:18:07Z
2016-12-01 17:24:14 INFO  searcher:108 -  Donald Trump có quyền nhắn tin cho cả nước Mỹ : http://sohoa.vnexpress.net/tin-tuc/doi-song-so/donald-trump-co-quyen-nhan-tin-cho-ca-nuoc-my-3507138.html
2016-12-01 17:24:14 INFO  searcher:108 -  Những hình ảnh trùng hợp đến bất ngờ : http://vnexpress.net/tin-tuc/cuoi/anh/nhung-hinh-anh-trung-hop-den-bat-ngo-3506126.html
2016-12-01 17:24:14 INFO  searcher:108 -  Hoàn tiền đến 50% khi thanh toán qua VnExpress Pay : http://kinhdoanh.vnexpress.net/tin-tuc/thuong-mai-dien-tu/pay/hoan-tien-den-50-khi-thanh-toan-qua-vnexpress-pay-3507199.html
2016-12-01 17:24:14 INFO  searcher:108 -  Nhan sắc cô gái 19 tuổi Hoài Lâm vừa hỏi cưới : http://giaitri.vnexpress.net/tin-tuc/gioi-sao/trong-nuoc/nhan-sac-co-gai-19-tuoi-hoai-lam-vua-hoi-cuoi-3506716.html
2016-12-01 17:24:14 INFO  searcher:108 -  NSƯT Quang Lý: 'Có ca sĩ hát như dọa người khác' : http://giaitri.vnexpress.net/tin-tuc/gioi-sao/trong-nuoc/nsut-quang-ly-co-ca-si-hat-nhu-doa-nguoi-khac-3230302.html
2016-12-01 17:24:14 INFO  searcher:108 -  Online Friday 2016 kiểm soát tình trạng khuyến mãi ảo : http://kinhdoanh.vnexpress.net/tin-tuc/thuong-mai-dien-tu/tin-tuc/online-friday-2016-kiem-soat-tinh-trang-khuyen-mai-ao-3502358.html
2016-12-01 17:24:14 INFO  searcher:108 -  Công an giăng bẫy 'nam nhân kế' với bà trùm khát tình : http://vnexpress.net/tin-tuc/phap-luat/ho-so-pha-an/cong-an-giang-bay-nam-nhan-ke-voi-ba-trum-khat-tinh-3506622.html
2016-12-01 17:24:14 INFO  searcher:108 -  Nguyễn Kim ưu đãi khởi động mùa mua sắm cuối năm : http://kinhdoanh.vnexpress.net/tin-tuc/hang-hoa/khuyen-mai/nguyen-kim-uu-dai-khoi-dong-mua-mua-sam-cuoi-nam-3503944.html
2016-12-01 17:24:14 INFO  searcher:108 -  Ngày hội mua sắm với nhiều ưu đãi lớn gần hồ Gươm : http://kinhdoanh.vnexpress.net/tin-tuc/thuong-mai-dien-tu/ngay-hoi-mua-sam-voi-nhieu-uu-dai-lon-gan-ho-guom-3507069.html
2016-12-01 17:24:14 INFO  searcher:108 -  Có nên nói cho vợ anh biết tôi đã yêu anh 10 năm : http://vnexpress.net/tin-tuc/tam-su/co-nen-noi-cho-vo-anh-biet-toi-da-yeu-anh-10-nam-3506838.html
2016-12-01 17:24:14 INFO  searcher:108 -  Đảng cầm quyền Hàn Quốc tính bầu tổng thống vào năm sau : http://vnexpress.net/tin-tuc/the-gioi/dang-cam-quyen-han-quoc-tinh-bau-tong-thong-vao-nam-sau-3507089.html
2016-12-01 17:24:14 INFO  searcher:108 -  Người đàn ông lừa bán hơn 300 ôtô sang trên giấy : http://vnexpress.net/tin-tuc/phap-luat/nguoi-dan-ong-lua-ban-hon-300-oto-sang-tren-giay-3507193.html
2016-12-01 17:24:14 INFO  searcher:108 -  Cầu thủ Brazil được giải cứu sau 6 giờ nằm dưới xác máy bay rơi : http://vnexpress.net/tin-tuc/the-gioi/cuoc-song-do-day/cau-thu-brazil-duoc-giai-cuu-sau-6-gio-nam-duoi-xac-may-bay-roi-3506894.html
2016-12-01 17:24:14 INFO  searcher:108 -  Tham gia thử thách cùng dầu nhớt Motul Tekma : http://kinhdoanh.vnexpress.net/tin-tuc/doanh-nghiep/doanh-nghiep-viet/tham-gia-thu-thach-cung-dau-nhot-motul-tekma-3505643.html
2016-12-01 17:24:14 INFO  searcher:108 -  Chương trình khuyến mãi 'Mình không một mình' nhân Ngày độc thân : http://kinhdoanh.vnexpress.net/tin-tuc/hang-hoa/khuyen-mai/chuong-trinh-khuyen-mai-minh-khong-mot-minh-nhan-ngay-doc-than-3496835.html
